Cluster,Size,Pct,Top_Permit,Top_Job,Residential%,Avg_Year,Processing_Days,Label
591,131,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
592,72,0.0%,Plumbing,Alteration Type 2,0.0%,2001,N/A,Specialized/Rare Commercial/Mixed - Plumbing
593,63,0.0%,Equipment,Alteration Type 3,0.0%,2001,N/A,Specialized/Rare Commercial/Mixed - Equipment
594,89,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
595,51,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
596,58,0.0%,New Building,New Building,100.0%,2001,N/A,Specialized/Rare Residential - New Building
597,89,0.0%,Plumbing,Alteration Type 2,0.0%,2007,N/A,Specialized/Rare Commercial/Mixed - Plumbing
598,50,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
599,69,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
600,54,0.0%,Plumbing,New Building,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Plumbing
601,76,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
602,164,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
603,82,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
604,131,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
605,94,0.0%,Plumbing,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Plumbing
606,56,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
607,64,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
608,86,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
609,89,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
610,67,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
611,151,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
612,44,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
613,52,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
614,59,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
615,159,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
616,76,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
617,57,0.0%,Equipment Work,Alteration Type 2,0.0%,2014,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
618,68,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
619,78,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
620,116,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
621,79,0.0%,Plumbing,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Plumbing
622,52,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
623,84,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
624,167,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
625,52,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
626,80,0.0%,Plumbing,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Plumbing
627,72,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
628,69,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
629,62,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
630,82,0.0%,Equipment,Alteration Type 3,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment
631,50,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
