Cluster,Size,Pct,Top_Permit,Top_Job,Residential%,Avg_Year,Processing_Days,Label
-1,3198489,84.0%,Equipment Work,Alteration Type 2,46.4%,2009,4,Large Commercial/Mixed - Equipment Work
0,1790,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
1,743,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
2,101,0.0%,Equipment Work,Alteration Type 2,0.0%,2022,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
3,376,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
4,1069,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
5,1431,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
6,572,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
7,453,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
8,611,0.0%,Equipment Work,Alteration Type 2,0.0%,1993,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
9,641,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
10,1252,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Small Commercial/Mixed - Equipment Work
11,843,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
12,799,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
13,808,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
14,1180,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Small Commercial/Mixed - Equipment Work
15,1456,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
16,1418,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
17,1349,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Small Commercial/Mixed - Equipment Work
18,447,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
19,249,0.0%,Equipment Work,Alteration Type 2,100.0%,2016,N/A,Specialized/Rare Residential - Equipment Work
20,537,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
21,1007,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
22,421,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
23,1383,0.0%,Equipment Work,Alteration Type 2,0.0%,2013,N/A,Small Commercial/Mixed - Equipment Work
24,1203,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Small Commercial/Mixed - Equipment Work
25,1277,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Small Commercial/Mixed - Equipment Work
26,1474,0.0%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Small Commercial/Mixed - Equipment Work
27,59,0.0%,Equipment Work,Alteration Type 2,0.0%,2024,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
28,501,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
29,210,0.0%,Plumbing,Alteration Type 2,0.0%,2018,N/A,Specialized/Rare Commercial/Mixed - Plumbing
30,210,0.0%,Equipment Work,Alteration Type 2,0.0%,2021,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
31,89,0.0%,New Building,New Building,100.0%,2001,N/A,Specialized/Rare Residential - New Building
32,323,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
33,97,0.0%,Equipment Work,Alteration Type 2,100.0%,2021,N/A,Specialized/Rare Residential - Equipment Work
34,1280,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
35,752,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
36,1546,0.0%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Small Commercial/Mixed - Equipment Work
37,1547,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
38,1404,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
39,1369,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
40,1572,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
41,1576,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
42,85,0.0%,Equipment Work,Alteration Type 2,0.0%,2021,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
43,1133,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
44,1023,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
45,1434,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Small Commercial/Mixed - Equipment Work
46,1478,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
47,284,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
48,1196,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Small Commercial/Mixed - Equipment Work
49,69,0.0%,Equipment Work,Alteration Type 2,0.0%,2021,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
50,55,0.0%,Equipment Work,Alteration Type 2,0.0%,2022,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
51,133,0.0%,Equipment Work,Alteration Type 2,100.0%,2021,N/A,Specialized/Rare Residential - Equipment Work
52,52,0.0%,New Building,New Building,100.0%,2002,N/A,Specialized/Rare Residential - New Building
53,52,0.0%,Plumbing,New Building,100.0%,2002,N/A,Specialized/Rare Residential - Plumbing
54,296,0.0%,Equipment Work,Alteration Type 2,0.0%,2021,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
55,1205,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Small Commercial/Mixed - Equipment Work
56,1608,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
57,1183,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
58,879,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
59,725,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
60,593,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
61,874,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
62,1178,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Small Commercial/Mixed - Equipment Work
63,517,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
64,365,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
65,111,0.0%,Plumbing,Alteration Type 2,0.0%,2007,N/A,Specialized/Rare Commercial/Mixed - Plumbing
66,854,0.0%,Equipment Work,Alteration Type 2,0.0%,1994,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
67,961,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
68,1604,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Small Commercial/Mixed - Equipment Work
69,1219,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Small Commercial/Mixed - Equipment Work
70,1569,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Small Commercial/Mixed - Equipment Work
71,1599,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
72,1157,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
73,57,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
74,933,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
75,274,0.0%,Equipment Work,Alteration Type 2,100.0%,2018,N/A,Specialized/Rare Residential - Equipment Work
76,51,0.0%,Equipment Work,Alteration Type 2,0.0%,2023,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
77,95,0.0%,Equipment Work,Alteration Type 2,100.0%,2021,N/A,Specialized/Rare Residential - Equipment Work
78,1140,0.0%,Equipment Work,Alteration Type 2,0.0%,2014,N/A,Small Commercial/Mixed - Equipment Work
79,1303,0.0%,Equipment Work,Alteration Type 2,0.0%,2016,N/A,Small Commercial/Mixed - Equipment Work
80,968,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
81,1443,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Small Commercial/Mixed - Equipment Work
82,1823,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Small Commercial/Mixed - Equipment Work
83,1322,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Small Commercial/Mixed - Equipment Work
84,1146,0.0%,Equipment Work,Alteration Type 2,0.0%,2016,N/A,Small Commercial/Mixed - Equipment Work
85,221,0.0%,Equipment Work,Alteration Type 2,100.0%,2020,N/A,Specialized/Rare Residential - Equipment Work
86,58,0.0%,Equipment Work,Alteration Type 2,0.0%,2023,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
87,1406,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
88,1391,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
89,1336,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Small Commercial/Mixed - Equipment Work
90,1596,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Small Commercial/Mixed - Equipment Work
91,862,0.0%,Equipment Work,Alteration Type 2,0.0%,2014,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
92,1312,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
93,1351,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
94,556,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
95,97,0.0%,Equipment Work,Alteration Type 2,100.0%,2020,N/A,Specialized/Rare Residential - Equipment Work
96,153,0.0%,Equipment Work,Alteration Type 2,0.0%,2021,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
97,1321,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
98,1425,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
99,1408,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
100,1596,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Small Commercial/Mixed - Equipment Work
101,758,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
102,965,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
103,1593,0.0%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Small Commercial/Mixed - Equipment Work
104,136,0.0%,Equipment Work,Alteration Type 2,100.0%,2019,N/A,Specialized/Rare Residential - Equipment Work
105,1289,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
106,1346,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
107,662,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
108,1035,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
109,1797,0.0%,Equipment Work,Alteration Type 2,0.0%,2016,N/A,Small Commercial/Mixed - Equipment Work
110,1586,0.0%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Small Commercial/Mixed - Equipment Work
111,920,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
112,618,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
113,275,0.0%,Equipment Work,Alteration Type 2,100.0%,2019,N/A,Specialized/Rare Residential - Equipment Work
114,257,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
115,1656,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
116,50,0.0%,Equipment Work,Alteration Type 2,0.0%,2024,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
117,505,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
118,656,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
119,1251,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
120,72,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
121,1931,0.1%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Small Commercial/Mixed - Equipment Work
122,178,0.0%,Equipment Work,Alteration Type 2,100.0%,2018,N/A,Specialized/Rare Residential - Equipment Work
123,1331,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
124,1395,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
125,1554,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
126,988,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
127,1210,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Small Commercial/Mixed - Equipment Work
128,1598,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
129,1711,0.0%,Equipment Work,Alteration Type 2,0.0%,2016,N/A,Small Commercial/Mixed - Equipment Work
130,1348,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
131,141,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
132,1175,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
133,1451,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
134,326,0.0%,Equipment Work,Alteration Type 2,100.0%,2017,N/A,Specialized/Rare Residential - Equipment Work
135,1650,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Small Commercial/Mixed - Equipment Work
136,84,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
137,77,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
138,182,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
139,78,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
140,72,0.0%,New Building,New Building,100.0%,2001,N/A,Specialized/Rare Residential - New Building
141,239,0.0%,Equipment Work,Alteration Type 2,100.0%,2019,N/A,Specialized/Rare Residential - Equipment Work
142,1712,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
143,1338,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
144,130,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
145,129,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
146,984,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
147,1089,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
148,1461,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
149,52,0.0%,Equipment Work,Alteration Type 2,0.0%,2024,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
150,1221,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
151,1020,0.0%,Equipment Work,Alteration Type 2,0.0%,2014,N/A,Small Commercial/Mixed - Equipment Work
152,1250,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
153,108,0.0%,Plumbing,Alteration Type 2,0.0%,1998,N/A,Specialized/Rare Commercial/Mixed - Plumbing
154,877,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
155,1203,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
156,474,0.0%,Equipment Work,Alteration Type 2,0.0%,1993,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
157,1234,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
158,1295,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
159,1396,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
160,1082,0.0%,Equipment Work,Alteration Type 2,0.0%,2013,N/A,Small Commercial/Mixed - Equipment Work
161,1357,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
162,103,0.0%,Plumbing,Alteration Type 2,0.0%,1999,N/A,Specialized/Rare Commercial/Mixed - Plumbing
163,1672,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
164,72,0.0%,Plumbing,Alteration Type 2,0.0%,1999,N/A,Specialized/Rare Commercial/Mixed - Plumbing
165,109,0.0%,Plumbing,Alteration Type 2,0.0%,1999,N/A,Specialized/Rare Commercial/Mixed - Plumbing
166,1527,0.0%,Equipment Work,Alteration Type 2,0.0%,1999,N/A,Small Commercial/Mixed - Equipment Work
167,89,0.0%,Plumbing,Alteration Type 2,0.0%,1999,N/A,Specialized/Rare Commercial/Mixed - Plumbing
168,1381,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
169,1366,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
170,1676,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
171,1371,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
172,107,0.0%,Plumbing,Alteration Type 2,0.0%,2018,N/A,Specialized/Rare Commercial/Mixed - Plumbing
173,100,0.0%,Plumbing,Alteration Type 2,0.0%,2001,N/A,Specialized/Rare Commercial/Mixed - Plumbing
174,70,0.0%,Plumbing,Alteration Type 2,0.0%,2013,N/A,Specialized/Rare Commercial/Mixed - Plumbing
175,1290,0.0%,Equipment Work,Alteration Type 2,0.0%,2001,N/A,Small Commercial/Mixed - Equipment Work
176,65,0.0%,Plumbing,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Plumbing
177,1130,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
178,1143,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
179,572,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
180,1205,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Small Commercial/Mixed - Equipment Work
181,971,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
182,1267,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Small Commercial/Mixed - Equipment Work
183,1167,0.0%,Equipment Work,Alteration Type 2,0.0%,2013,N/A,Small Commercial/Mixed - Equipment Work
184,1376,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
185,1111,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
186,1674,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
187,826,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
188,1501,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Small Commercial/Mixed - Equipment Work
189,1402,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
190,1800,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
191,1598,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
192,1082,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
193,1522,0.0%,Equipment Work,Alteration Type 2,0.0%,2013,N/A,Small Commercial/Mixed - Equipment Work
194,153,0.0%,Plumbing,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Plumbing
195,573,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
196,964,0.0%,Equipment Work,Alteration Type 2,0.0%,2014,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
197,1410,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
198,228,0.0%,Plumbing,Alteration Type 2,0.0%,2016,N/A,Specialized/Rare Commercial/Mixed - Plumbing
199,1133,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Small Commercial/Mixed - Equipment Work
200,974,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
201,1470,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Small Commercial/Mixed - Equipment Work
202,495,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
203,1097,0.0%,Equipment Work,Alteration Type 2,0.0%,2017,N/A,Small Commercial/Mixed - Equipment Work
204,1006,0.0%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Small Commercial/Mixed - Equipment Work
205,604,0.0%,Equipment Work,Alteration Type 2,0.0%,1993,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
206,793,0.0%,Equipment Work,Alteration Type 2,0.0%,1995,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
207,770,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
208,705,0.0%,Equipment Work,Alteration Type 2,0.0%,1994,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
209,661,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
210,1448,0.0%,Equipment Work,Alteration Type 2,0.0%,2018,N/A,Small Commercial/Mixed - Equipment Work
211,774,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
212,929,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
213,813,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
214,1107,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Small Commercial/Mixed - Equipment Work
215,886,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
216,713,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
217,474,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
218,953,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
219,1226,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Small Commercial/Mixed - Equipment Work
220,749,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
221,761,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
222,1823,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
223,1316,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Small Commercial/Mixed - Equipment Work
224,741,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
225,1139,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Small Commercial/Mixed - Equipment Work
226,1231,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Small Commercial/Mixed - Equipment Work
227,1165,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Small Commercial/Mixed - Equipment Work
228,1347,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
229,1499,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
230,1319,0.0%,Equipment Work,Alteration Type 2,0.0%,1998,N/A,Small Commercial/Mixed - Equipment Work
231,1742,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Small Commercial/Mixed - Equipment Work
232,189,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
233,139,0.0%,Equipment Work,Alteration Type 2,100.0%,2019,N/A,Specialized/Rare Residential - Equipment Work
234,261,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
235,210,0.0%,Equipment Work,Alteration Type 2,100.0%,2019,N/A,Specialized/Rare Residential - Equipment Work
